Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus
Between Kamieskroon & Gamoep,,,-30.18,18.06,,"degree, minute and integer second",,3018AA
"Vioolsdrif, Hell's Kloof [west of]",,,-28.56,16.8,,"degree, minute and integer second",,2816DB
"Steinkopf, Richtersveld",,,-29.26,17.71,,degree and integer minute,,2917BC
KLIPFONTEIN,,,-29.12,17.62,,centroid of 15x15 minute grid (QDS),,2917BA
FARM GEMSBOKVLEI & KLIPFONTEIN,,,-29.37,17.12,,centroid of 15x15 minute grid (QDS),,2917AC
SOEBARTSFONTEIN,,,-30.12,17.62,,centroid of 15x15 minute grid (QDS),,3017BA
"FARM GEMSBOKVLEI, 32KM E OF PORT NOLLOTH",,,-29.31,17.16,,"degree, minute and integer second",,2917AC
"Klipfontein, 29",,,-29.12,17.87,,centroid of 15x15 minute grid (QDS),,2917BB
"Kamaggas, 8 km S of",,,-29.85,17.48,,degree and integer minute,,2917CD
Springbok to Kamaggas 51KM from,,,-29.73,17.51,,degree and integer minute,,2917DA
Port Nolloth 24KM E of,,,-29.31,17.1,,degree and integer minute,,2917AC
on the farm Glad; 22km east of Kleinsee,,,-29.61,17.15,,0-250 m,,2917CA
farm Steenvlei; near Kleinsee; Namaqualand.,,,-29.75,17.15,,0-250 m,,2917CC
Richtersveld,,,-28.86,16.93,,degree and integer minute,,2816DD
"Sendelingsdrift, Numes waterhole, Richtersveld National Park",,,-28.12,16.87,,centroid of 15x15 minute grid (QDS),,2816BB
"Hellskloof Pass, Richtersveld National Park",,,-28.32,16.97,,"degree, minute and integer second",,2816BD
"6.5km beyond number 1 sign into Halfmens Pass, Richtersveld National Park",,,-28.13,16.98,,"degree, minute and integer second",,2816BB
"Springbokvlakte ~ 50m East of Park sign number 9, Richtersveld National Park",,,-28.36,17.23,,"degree, minute and integer second",,2817AC
"1.8km up Nicodemus near Hottentots Paradys, Richtersveld National Park",,,-28.37,16.87,,centroid of 15x15 minute grid (QDS),,2816BD
FARM DE BAKKEN,,,-29.5,21.01,,"degree, minute and integer second",,2921AC
"Sandhoogte, 6km East of Farm Eselfontein and 15km West of Springbok",,,-29.71,17.73,,"degree, minute and integer second",,2917DA
"Van Rhyn's Pass, Bokkeveldberg",,,-31.36,19.03,,"degree, minute and integer second",,3119AC
"1.9km down Helskloof, Richtersveld National Park",,,-28.37,16.87,,centroid of 15x15 minute grid (QDS),,2816BD
"Paradise kloof, Richtersveld National Park",,,-28.31,17,,degree and integer minute,,2817AC
"Southeastern slopes of Nicodaemus, Richtersveld National Park",,,-28.35,16.99,,"degree, minute and integer second",,2816BD
"Northwestern slopes of Nicodaemus, Richtersveld National Park",,,-28.35,16.99,,"degree, minute and integer second",,2816BD
"Vioolsdrift, Orange River",,,-28.87,17.62,,centroid of 15x15 minute grid (QDS),,2817DC
Brandewynbank,,,-29.37,17.62,,centroid of 15x15 minute grid (QDS),,2917BC
"Brandewynbank, 10km South of Steinkopf",,,-29.37,17.62,,centroid of 15x15 minute grid (QDS),,2917BC
Farm Kabis,,,-29.03,18.45,,degree and integer minute,,2918AB
Sandhoogte,,,-29.71,17.73,,degree and integer minute,,2917DA
"Summit of Fifteenmile mountain, Farm Augrabies West",,,-29.25,17.09,,"degree, minute and integer second",,2917AC
"Uitspanspoortberg, Lekkersing, Richtersveldt National Park",,,-28.95,17.04,,,,2817CC
"Vyftienmylseberg, just North of Farm Gemsbokvlei, 8km North of Port Nolloth - Steincop road, Little Namaqualand",,,-29.12,17.12,,centroid of 15x15 minute grid (QDS),,2917AA
"Vyftienmylseberg, North of Farm 'Gemsbokvlei' 8km North of Port Nolloth-Steinkop road. Littlte Namaqualand.",,,-29.12,17.12,,centroid of 15x15 minute grid (QDS),,2917AA
"Bottelkloof Pass, Karoo National Park (Botterkloof)",,,-31.82,19.26,,,,3119CD
"Hellskloof Gate, Richtersveldt National Park",,,-28.26,16.93,,"degree, minute and integer second",,2816BD
"Numes Mine, Richtersveldt National Park",,,-28.29,16.96,,"degree, minute and integer second",,2816BD
"3.2km from Koebus, Richtersveldt National Park",,,-28.42,17,,"degree, minute and integer second",,2817AC
"KALKFONTEIN, 12 MILES N",,,-28.87,17.12,,centroid of 15x15 minute grid (QDS),,2817CC
DIE KOEI WATERHOLE,,,-28.26,17,,"degree, minute and integer second",,2817AC
"EKSTEENFOTEIN, 11 KM SW",,,-28.87,17.37,,centroid of 15x15 minute grid (QDS),,2817CD
FARM KANIKWAVLAKTE,,,-29.31,17.08,,"degree, minute and integer second",,2917AC
"KALKFONTEIN, 16 KM N",,,-28.87,17.12,,centroid of 15x15 minute grid (QDS),,2817CC
"EKSTEENFONTEIN, 11 KM SW",,,-28.87,17.37,,centroid of 15x15 minute grid (QDS),,2817CD
HELLSKLOOF PASS,,,-28.87,17.12,,centroid of 15x15 minute grid (QDS),,2817CC
"DOLOMITE PEAKS, 11KM S OF",,,-28.78,17.05,,"degree, minute and integer second",,2817CC
DEVIL'S CASTLE,,,-28.76,17.28,,"degree, minute and integer second",,2817CD
"BRAKFONTEIN, 6KM W OF",,,-28.93,17.01,,"degree, minute and integer second",,2817CC
Wolfhok,,,-30.36,18.1,,degree and integer minute,,3018AC
Farm  Kanikwavlakte,,,-29.31,17.08,,degree and integer minute,,2917AC
"Okiep, 14KM N of",,,-29.45,17.83,,degree and integer minute,,2917BD
"Dolomite  Peaks, 11KM S of",,,-28.78,17.05,,degree and integer minute,,2817CC
Dolomite  Peaks,,,-28.6,16.95,,degree and integer minute,,2816DB
"Dolomite Peaks, 9 Miles  NW",,,-28.6,16.95,,degree and integer minute,,2816DB
"Stinkfontein, 10KM E of",,,-28.87,17.37,,centroid of 15x15 minute grid (QDS),,2817CD
Die  Koei  Waterhole,,,-28.26,17,,degree and integer minute,,2817AC
"Daberas, Holgate river, Richtersveld",,,-28.86,16.93,,degree and integer minute,,2816DD
Eksteenfontein 11 KM SW,,,-28.86,17.36,,degree and integer minute,,2817CD
"Stinkfontein, 21KM E of, Richtersveld",,,-28.87,17.62,,centroid of 15x15 minute grid (QDS),,2817DC
Devil`s Castle,,,-28.76,17.28,,degree and integer minute,,2817CD
"Daberes in Holgat River, Richtersveld",,,-28.86,16.93,,degree and integer minute,,2816DD
"Kommagas, 7KM to Springbok",,,-29.75,17.51,,degree and integer minute,,2917DC
Nauwkoes Farm,,,-31.73,18.48,,degree and integer minute,,3118CB
"Leliefontein, 7 KM NW of",,,-30.25,18.05,,degree and integer minute,,3018AC
"Gemsbokvley Farm, 32KM NE of Port Nolloth",,,-29.31,17.16,,degree and integer minute,,2917AC
"Karoedap, 18 KM  S of Lekkersing",,,-29.08,17.1,,degree and integer minute,,2917AA
"Lekkersing, 24 KM S. of Annisfontein Richtersveld",,,-29,17.1,,degree and integer minute,,2917AA
"Annisfontein, 24 KM S of",,,-28.56,16.91,,degree and integer minute,,2816DB
"Amisfontein - Lekkersing, 24 KM S",,,-28.56,16.91,,degree and integer minute,,2816DB
"Farm Koboop, S of Onseepkans",,,-28.87,19.37,,centroid of 15x15 minute grid (QDS),,2819CD
"Kanikwavlakte Farm, Gemsbokpoort",,,-29.31,17.08,,degree and integer minute,,2917AC
Oograbies Farm,,,-29.25,17.08,,degree and integer minute,,2917AC
Augrabies Falls Nat Park,,,-28.58,20.33,,degree and integer minute,,2820CB
Aughrabies Falls Nat Park,,,-28.58,20.33,,degree and integer minute,,2820CB
"Near Kwass (Groen-Spoeg), Namaqualand",,,-30.72,17.51,,"degree, minute and integer second",,3017DA
"Bloeddrif, 14.4 km N Annisfontein",,,-28.37,16.87,,centroid of 15x15 minute grid (QDS),,2816BD
Jakkalsputs,,,-28.62,16.87,,centroid of 15x15 minute grid (QDS),,2816DB
Sendelingsdrif,,,-28.12,16.87,,centroid of 15x15 minute grid (QDS),,2816BB
11.2 km N Bloeddrif,,,-28.37,16.87,,centroid of 15x15 minute grid (QDS),,2816BD
"Brandbos, Richtersveld",,,-28.58,16.6,,"degree, minute and integer second",,2816DA
Daberas,,,-28.86,16.93,,degree and integer minute,,2816DD
"Sendelingsdrift, Richtersveld",,,-28.16,16.88,,degree and integer minute,,2816BB
SENDELINGS DRIFT,,,-28.12,16.87,,centroid of 15x15 minute grid (QDS),,2816BB
Sendelingsdrift,,,-28.16,16.88,,degree and integer minute,,2816BB
Grootderm,,,-28.62,16.62,,"degree, minute and integer second",,2816DA
"HOLGAT RIVER MOUTH, RICHTERSVELD",,,-28.87,16.62,,centroid of 15x15 minute grid (QDS),,2816DC
Holgate River mouth,,,-28.86,16.71,,degree and integer minute,,2816DC
"GIFKOP, NEAR, 35 KM S ALEXANDER BAY",,,-28.85,16.68,,"degree, minute and integer second",,2816DC
"BLOEDRIF,14,4 KM NW OF",,,-28.35,16.76,,"degree, minute and integer second",,2816BD
"BLOEDDRIF, 11.2 KM N",,,-28.35,16.81,,"degree, minute and integer second",,2816BD
"Bloeddrif,14,4 KM NW of",,,-28.35,14.31,,degree and integer minute,,2814AD
Bloeddrif,,,-28.35,16.81,,degree and integer minute,,2816BD
