original_locality,original_qds,latitude,longitude,precision,precby,correctedaddress,gmapslink,farm
"Hans Hoheisein Reserve, Orpen camp, Kruger National Park",2431AD,-23.8214244,31.4456179,APPROXIMATE,johaadienr,"Kruger National Park, South Africa","http://www.google.co.za/maps/place/-23.8214244,31.4456179",Distance from original qds: 0.4800672429105824
Farm NotfilledinRukaya,2431CB,0,0,FARMPRECISION,johaadienr,Closest match Ledig with certainty of 72,,No farm found
"Manyeleti Nat Res, Hermitage",2431CB,0,0,0,johaadienr,0,,0
Farm Acre,2430AA,-23.9263,30.10345,FARMPRECISION,johaadienr,Few Acres                                                                                                                                             ,"http://www.google.co.za/maps/place/-23.9263,30.10345",Multiple farms found
Sterkwater 229,2428BB,-23.75281,28.00371,FARMPRECISION,johaadienr,Sterkwater                                                                                                                                            ,"http://www.google.co.za/maps/place/-23.75281,28.00371",Multiple farms found
Lanner Gorge; Kruger NP,2231AC,0,0,0,johaadienr,0,,0
On road R33,2428CB,0,0,FARMPRECISION,johaadienr,Closest match Mongue on Molino with certainty of 85,,No farm found
road R33 between Nylstroom and Marble Hall,2428DC,0,0,FARMPRECISION,johaadienr,Closest match Roma with certainty of 67,,No farm found
farm Shalom N22; Cressy; Naboomspruit,2428BC,-24.07271,30.39256,FARMPRECISION,johaadienr,Shalom,"http://www.google.co.za/maps/place/-24.07271,30.39256",Farm matched is Shalom with 88+ accuracy
farm Avondsrus; 5km N of Naboomspruit,2428BC,-24.97351,27.84463,FARMPRECISION,johaadienr,Avondrus,"http://www.google.co.za/maps/place/-24.97351,27.84463",Farm matched is Avondrus with 88+ accuracy
Euphorbia Golf Course; 1km N of Naboomspruit on Mineral Bath road,2428BC,0,0,0,johaadienr,0,,0
farm Bundu; 9km N of Naboomspruit on Constantia road,2428BD,0,0,FARMPRECISION,johaadienr,Closest match Bandur with certainty of 73,,No farm found
Farm Euphorbia 7km; N of Naboomspruit,2428BC,0,0,FARMPRECISION,johaadienr,Closest match Tobia with certainty of 72,,No farm found
Farm Euphorbia 7km N of Naboomspruit on the Mineral Baths Rd,2428BD,-24.48781,28.68785,FARMPRECISION,johaadienr,Naboomspruit,"http://www.google.co.za/maps/place/-24.48781,28.68785",Farm matched is Naboomspruit with 88+ accuracy
Farm Euphorbia N of Naboomspruit,2428BD,-24.48781,28.68785,FARMPRECISION,johaadienr,Naboomspruit,"http://www.google.co.za/maps/place/-24.48781,28.68785",Farm matched is Naboomspruit with 88+ accuracy
Farm Euphorbia; Mookgophong (Naboomspruit) Distict,2428BD,0,0,FARMPRECISION,johaadienr,Closest match Tobia with certainty of 72,,No farm found
Farm Bundu; 7km N of Naboomspruit,2428BC,0,0,FARMPRECISION,johaadienr,Closest match Bandur with certainty of 73,,No farm found
Waterpoort Station,2229DC,-22.90417,29.61667,APPROXIMATE,johaadienr,"Waterpoort, R523, South Africa","http://www.google.co.za/maps/place/-22.90417,29.61667",Distance from original qds: 1.0944429075104831
Farm Little Leigh,2229DD,0,0,FARMPRECISION,johaadienr,Closest match Ledig with certainty of 72,,No farm found
"Farm Weipe, 42",2229AB,-22.17522,29.48203,FARMPRECISION,johaadienr,Weipe,"http://www.google.co.za/maps/place/-22.17522,29.48203",Farm matched is Weipe with 88+ accuracy
Farm Coventry near Alldays,2229CA,-22.56701,29.21082,FARMPRECISION,johaadienr,Coventry,"http://www.google.co.za/maps/place/-22.56701,29.21082",Farm matched is Coventry with 88+ accuracy
Matiwa Lookout,2230CD,0,0,0,johaadienr,0,,0
"Farm De Naeuwte, 393",2017CD,0,0,FARMPRECISION,johaadienr,Closest match De Loskop with certainty of 85,,No farm found
Rankins Pass,2427DB,-24.533333,27.916667,APPROXIMATE,johaadienr,"Rankin's Pass, South Africa","http://www.google.co.za/maps/place/-24.533333,27.916667",Distance from original qds: 1.0605293384805532
Farm Doorndraai,2428BD,-23.91042,27.84575,FARMPRECISION,johaadienr,Doorndraai                                                                                                                                            ,"http://www.google.co.za/maps/place/-23.91042,27.84575",Multiple farms found
Nylsvley Nat Res,2428DA,-24.6451298,28.6848112,APPROXIMATE,johaadienr,"Nylsvley Nature Reserve, South Africa","http://www.google.co.za/maps/place/-24.6451298,28.6848112",Distance from original qds: 0.9408288040305087
Farm Crimea,2229DC,0,0,FARMPRECISION,johaadienr,Closest match Corea with certainty of 73,,No farm found
Farm Crimea - Van Collers,2229DC,0,0,FARMPRECISION,johaadienr,Closest match Van Wykskraal with certainty of 85,,No farm found
Farm Parkfield,2229DD,0,0,FARMPRECISION,johaadienr,Closest match Fairfield with certainty of 78,,No farm found
Nylsvley 560,2428DA,-24.60518,28.67349,FARMPRECISION,johaadienr,Nylsvley Bush Camp                                                                                                                                    ,"http://www.google.co.za/maps/place/-24.60518,28.67349",Multiple farms found
"Matiwa Lookout, Entabeni",2230CD,0,0,0,johaadienr,0,,0
Farm Kliprivier,2229DC,-22.84606,29.65193,FARMPRECISION,johaadienr,Kliprivier                                                                                                                                            ,"http://www.google.co.za/maps/place/-22.84606,29.65193",Multiple farms found
Farm Smithfield,2229CD,-23.39729,27.84644,FARMPRECISION,johaadienr,Smithfield                                                                                                                                            ,"http://www.google.co.za/maps/place/-23.39729,27.84644",Multiple farms found
"Farm Preezburg, 400",2328BC,0,0,FARMPRECISION,johaadienr,Closest match Blouberg with certainty of 56,,No farm found
"Farm Umzumbi, 21",2228CB,0,0,FARMPRECISION,johaadienr,Closest match Umbilo with certainty of 68,,No farm found
Farm Serolle,2230CC,0,0,FARMPRECISION,johaadienr,Closest match Somerville with certainty of 71,,No farm found
Farm Cliffside,2230CC,0,0,FARMPRECISION,johaadienr,Closest match Sidney with certainty of 72,,No farm found
Farm Zandbult,2327CB,-23.6859,27.33676,FARMPRECISION,johaadienr,Sandbult,"http://www.google.co.za/maps/place/-23.6859,27.33676",Farm matched is Sandbult with 50+ accuracy and same QDS
Farm Klipfontein,2427AB,-24.94436,27.37623,FARMPRECISION,johaadienr,Klipfontein                                                                                                                                           ,"http://www.google.co.za/maps/place/-24.94436,27.37623",Multiple farms found
Farm Robertson,2229DC,-23.65882,28.12243,FARMPRECISION,johaadienr,Robertson                                                                                                                                             ,"http://www.google.co.za/maps/place/-23.65882,28.12243",Multiple farms found
"Farm Bristol, 760",2229DC,-23.0101,29.59732,FARMPRECISION,johaadienr,Bristol,"http://www.google.co.za/maps/place/-23.0101,29.59732",Farm matched is Bristol with 88+ accuracy
Farm Serala,2430AA,0,0,FARMPRECISION,johaadienr,Closest match Seralo with certainty of 83,,No farm found
Farm Zoutpan,2229CD,-22.76323,28.39117,FARMPRECISION,johaadienr,Zoutpan                                                                                                                                               ,"http://www.google.co.za/maps/place/-22.76323,28.39117",Farm matched exactly
Njelele River,2230CA,-22.9163965,30.2907179,APPROXIMATE,johaadienr,"Nzhelele, South Africa","http://www.google.co.za/maps/place/-22.9163965,30.2907179",Distance from original qds: 0.9614049316456945
Iron Crown,2329DD,-23.9991667,29.9461111,APPROXIMATE,johaadienr,"Iron Crown, Woodbush Forest Reserve, South Africa","http://www.google.co.za/maps/place/-23.9991667,29.9461111",Distance from original qds: 1.3760306348087237
Farm Rochdale,2229DC,-23.14768,27.89154,FARMPRECISION,johaadienr,Dale,"http://www.google.co.za/maps/place/-23.14768,27.89154",Farm matched is Dale with 88+ accuracy
Mapungubwe NP; W,2229AA,0,0,0,johaadienr,0,,0
Letaba; Kruger National Park,2331DC,-23.8988889,30.3858333,APPROXIMATE,johaadienr,"Letabakop, South Africa","http://www.google.co.za/maps/place/-23.8988889,30.3858333",Distance from original qds: 1.0886698259491245
Lekgalameetsa Nat. Res.,2430AA,-24.1646165,30.2108809,APPROXIMATE,johaadienr,"Lekgalameetse Nature Reserve, South Africa","http://www.google.co.za/maps/place/-24.1646165,30.2108809",Distance from original qds: 0.2675244774914252
Farm Munnichshausen,2230AC,0,0,FARMPRECISION,johaadienr,Closest match Munnik with certainty of 74,,No farm found
Vhuswinzhe,2230CC,0,0,0,johaadienr,0,,0
Messina,2230AC,-22.338056,30.041667,APPROXIMATE,johaadienr,"Musina, South Africa","http://www.google.co.za/maps/place/-22.338056,30.041667",Distance from original qds: 0.3406141483042082
Kruger; Skukuza,2431DC,-23.9883848,31.5547402,APPROXIMATE,johaadienr,"Kruger National Park, Skukuza Camp Rd, Skukuza, 1350, South Africa","http://www.google.co.za/maps/place/-23.9883848,31.5547402",Distance from original qds: 0.5548617867244792
Punda Maria rest camp; Kruger National Park,2231CA,0,0,0,johaadienr,0,,0
Farm Dover,2030AC,-22.95428,29.68917,FARMPRECISION,johaadienr,Andover                                                                                                                                               ,"http://www.google.co.za/maps/place/-22.95428,29.68917",Multiple farms found
"Farm Suprise, 767",2229DC,0,0,FARMPRECISION,johaadienr,Closest match Surprise with certainty of 79,,No farm found
"Vaalwater, near",2428AC,-24.2971536,28.1151939,APPROXIMATE,johaadienr,"Vaalwater, South Africa","http://www.google.co.za/maps/place/-24.2971536,28.1151939",Distance from original qds: 0.3187003241136902
Legalameetse Nat. Res,2430AA,-24.1226006,30.182022,APPROXIMATE,johaadienr,"Legalameetse Nature Reserve, South Africa","http://www.google.co.za/maps/place/-24.1226006,30.182022",Distance from original qds: 0.21946051035290967
farm Weynek 505 KQ; Rooiberg; Thabazimbi,2427DC,0,0,FARMPRECISION,johaadienr,Closest match Neska with certainty of 64,,No farm found
Waterberg,2428DA,-23.9747849,28.299435,APPROXIMATE,johaadienr,"Bosveld, South Africa","http://www.google.co.za/maps/place/-23.9747849,28.299435",Distance from original qds: 0.30049479278850977
Blouberg Nature Reserve (Derry),2229CC,0,0,0,johaadienr,0,,0
Farm Daggafontein,2230CD,0,0,FARMPRECISION,johaadienr,,,"No farm found, no fuzzy matching as name is too common"
Lapalala Nat Res,2328CD,0,0,0,johaadienr,0,,0
Leydsdorp,2330DC,-23.995,30.521,APPROXIMATE,johaadienr,"Leydsdorp, South Africa","http://www.google.co.za/maps/place/-23.995,30.521",Distance from original qds: 1.1231500345011804
Woodbush Forest Res,2329DD,-23.8324459,29.9884176,APPROXIMATE,johaadienr,"Woodbush Forest Reserve, South Africa","http://www.google.co.za/maps/place/-23.8324459,29.9884176",Distance from original qds: 1.2922598532867011
Farm Springfield,2328BB,-23.78844,27.0139,FARMPRECISION,johaadienr,Springfield                                                                                                                                           ,"http://www.google.co.za/maps/place/-23.78844,27.0139",Farm matched exactly
Farm Sweet Home,2328BB,-25.20386,29.92192,FARMPRECISION,johaadienr,Sweet Home                                                                                                                                            ,"http://www.google.co.za/maps/place/-25.20386,29.92192",Farm matched exactly
Farm Sweethome,2328BB,-25.20386,29.92192,FARMPRECISION,johaadienr,Sweet Home,"http://www.google.co.za/maps/place/-25.20386,29.92192",Farm matched is Sweet Home with 88+ accuracy
"Farm La Rochelle, 310",2328BA,-23.14037,30.15553,FARMPRECISION,johaadienr,La Rochelle,"http://www.google.co.za/maps/place/-23.14037,30.15553",Farm matched is La Rochelle with 88+ accuracy
Farm La Rochelle 310,2328BA,-23.14037,30.15553,FARMPRECISION,johaadienr,La Rochelle,"http://www.google.co.za/maps/place/-23.14037,30.15553",Farm matched is La Rochelle with 88+ accuracy
"Farm Glen Alpine, 304",2328BA,-23.19485,28.66685,FARMPRECISION,johaadienr,Glen Alpine,"http://www.google.co.za/maps/place/-23.19485,28.66685",Farm matched is Glen Alpine with 88+ accuracy
"Farm Goedgelegen, 194",2328AD,-23.44406,28.39153,FARMPRECISION,johaadienr,Goedgelegen,"http://www.google.co.za/maps/place/-23.44406,28.39153",Farm matched is Goedgelegen with 88+ accuracy
"Farm Blackhill, 317",2328BB,0,0,FARMPRECISION,johaadienr,Closest match Black Hills with certainty of 72,,No farm found
"Farm Sweethome, 315",2328BB,0,0,FARMPRECISION,johaadienr,Closest match Sweet Home with certainty of 75,,No farm found
"Farm the Park, 266",2328BB,0,0,FARMPRECISION,johaadienr,Closest match The Glen with certainty of 85,,No farm found
Sebotlana,2328BB,0,0,0,johaadienr,0,,0
Studholme 229MT,2230CC,-22.96749,29.96842,FARMPRECISION,johaadienr,Studholme                                                                                                                                             ,"http://www.google.co.za/maps/place/-22.96749,29.96842",Farm matched exactly
Farm Outlook 789MS,2229DD,0,0,FARMPRECISION,johaadienr,Closest match Toul with certainty of 67,,No farm found
Farm Newgate 902MS,2229DD,-22.97934,29.92822,FARMPRECISION,johaadienr,Newgate,"http://www.google.co.za/maps/place/-22.97934,29.92822",Farm matched is Newgate with 88+ accuracy
Farm Peover 772MS,2229DC,0,0,FARMPRECISION,johaadienr,Closest match Dover with certainty of 72,,No farm found
Farm Beauley 260LR,2329AA,0,0,FARMPRECISION,johaadienr,Closest match Bealey with certainty of 74,,No farm found
"8 mi E of Vivo on rd to Waterpoort, then 6 mi N of rd",2229CD,0,0,0,johaadienr,0,,0
"Waterpoort, Rochdale",2229CD,0,0,0,johaadienr,0,,0
Saltpan,2229CD,-33.8886432,25.5525809,GEOMETRIC_CENTER,johaadienr,"Limpopo Street, Bethelsdorp, 6059, South Africa","http://www.google.co.za/maps/place/-33.8886432,25.5525809",Distance from original qds: 12.378389862496292
Leipzig Mission Station,2328BB,0,0,0,johaadienr,"Leipzig, Germany",,0
Farm Philipstown,2229CD,0,0,FARMPRECISION,johaadienr,Closest match Hilton with certainty of 71,,No farm found
"Farm Kalkheuwel, 454",2229CD,-22.99252,29.26253,FARMPRECISION,johaadienr,Kalkheuwel,"http://www.google.co.za/maps/place/-22.99252,29.26253",Farm matched is Kalkheuwel with 88+ accuracy
"Farm Fontaine bleau, 537",2229DA,0,0,FARMPRECISION,johaadienr,,,"No farm found, no fuzzy matching as name is too common"
"Farm Bluegumspoort, 779",2229DD,-22.99785,29.78537,FARMPRECISION,johaadienr,Bluegumpoort,"http://www.google.co.za/maps/place/-22.99785,29.78537",Farm matched is Bluegumpoort with 50+ accuracy and same QDS
Farm Highfield,2229DD,-22.9872,29.90344,FARMPRECISION,johaadienr,Highfield                                                                                                                                             ,"http://www.google.co.za/maps/place/-22.9872,29.90344",Farm matched exactly
"Punch Bowl Hotel, 6.4 KM W",2229DD,0,0,0,johaadienr,0,,0
Vivio Area,2329AB,0,0,0,johaadienr,0,,0
Vivio,2329AB,-23.0432422,29.2766931,APPROXIMATE,johaadienr,"Vivo, South Africa","http://www.google.co.za/maps/place/-23.0432422,29.2766931",Distance from original qds: 0.2800517085262108
